date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:43	710/710	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	https://orteil.dashnet.org/robots.txt		(from )
14:21:43	14589/14589	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2019:34:13%20GMT	https://orteil.dashnet.org/cookieclicker/	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/index.html	(from )
14:21:44	4568/4568	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2d-11d8%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js	C:/My%20Web%20Sites/Cookie%20Clicker/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js	(from https://orteil.dashnet.org/cookieclicker/)
14:21:44	202/202	---MC-	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202024%2018:21:44%20GMT	https://fonts.googleapis.com/css?family=Merriweather:900&subset=latin,latin-ext	C:/My%20Web%20Sites/Cookie%20Clicker/fonts.googleapis.com/css3bd0.css	(from https://orteil.dashnet.org/cookieclicker/)
14:21:44	230670/230670	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2010%20Sep%202024%2018:21:45%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Cookie%20Clicker/connect.facebook.net/en_US/fbevents.js	(from https://orteil.dashnet.org/cookieclicker/)
14:21:45	0/0	---M--	200	added ('OK')	text/plain	date:Tue,%2010%20Sep%202024%2018:21:45%20GMT	https://www.facebook.com/tr?id=357399801355203&ev=PageView&noscript=1	C:/My%20Web%20Sites/Cookie%20Clicker/www.facebook.com/tr.3703c.delayed	(from https://orteil.dashnet.org/cookieclicker/)
14:21:45	318/318	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2213e-4e5694a329b80%22	https://orteil.dashnet.org/cookieclicker/img/favicon.ico	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/favicon.ico	(from https://orteil.dashnet.org/cookieclicker/)
14:21:45	3002/3002	---M-Z	200	added ('OK')	text/javascript	etag:%22bba-4e5696c4aa280-gzip%22	https://orteil.dashnet.org/cookieclicker/base64.js	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/base64.js	(from https://orteil.dashnet.org/cookieclicker/)
14:21:46	64895/64895	---M-Z	200	added ('OK')	text/css	etag:%22fd7f-5fa9570cb5c40-gzip%22	https://orteil.dashnet.org/cookieclicker/style.css?v=9	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/stylec164.css	(from https://orteil.dashnet.org/cookieclicker/)
14:21:46	941768/941768	---MCZ	200	added ('OK')	text/javascript	etag:%22e5ec8-60debe358fec0-gzip%22	https://orteil.dashnet.org/cookieclicker/main.js?v=10b	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/main4b03.js	(from https://orteil.dashnet.org/cookieclicker/)
14:21:46	253/253	---M-Z	200	added ('OK')	text/javascript	etag:%22fd-583359271f340-gzip%22	https://orteil.dashnet.org/cookieclicker/showads.js	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/showads.js	(from https://orteil.dashnet.org/cookieclicker/)
14:21:47	1318/1318	---M--	200	added ('OK')	image/png	etag:%22935-565ab4f315780%22	https://orteil.dashnet.org/cookieclicker/img/discord.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/discord.png	(from https://orteil.dashnet.org/cookieclicker/)
14:21:47	187638/187638	---M--	200	added ('OK')	text/javascript	etag:12301335948452519114	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/Cookie%20Clicker/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://orteil.dashnet.org/cookieclicker/)
14:21:47	1688/1688	---M--	200	added ('OK')	image/png	etag:%22a5b-522d4feb15940%22	https://orteil.dashnet.org/cookieclicker/img/weeHoodie.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/weeHoodie.png	(from https://orteil.dashnet.org/cookieclicker/)
14:21:47	1335/1335	---M--	200	added ('OK')	image/png	etag:%2296d-577db4a8003c0%22	https://orteil.dashnet.org/cookieclicker/img/patreon.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/patreon.png	(from https://orteil.dashnet.org/cookieclicker/)
14:21:48	2748/2748	---M--	200	added ('OK')	image/png	etag:%22e8d-577ce7d6fcac0%22	https://orteil.dashnet.org/cookieclicker/img/heraldFlag.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/heraldFlag.png	(from https://orteil.dashnet.org/cookieclicker/)
14:21:48	10644/10644	---M--	200	added ('OK')	image/gif	etag:%222994-5e294e4aaf6c0%22	https://orteil.dashnet.org/cookieclicker/img/tinyglobeSheet.gif	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/tinyglobeSheet.gif	(from https://orteil.dashnet.org/cookieclicker/)
14:21:48	337/337	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Sep%202024%2018:21:48%20GMT	https://orteil.dashnet.org/cookieclicker/beta	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/beta	(from https://orteil.dashnet.org/cookieclicker/)
14:21:48	339/339	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Sep%202024%2018:21:49%20GMT	http://orteil.dashnet.org/cookieclicker/v10466	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/v10466.10.delayed	(from https://orteil.dashnet.org/cookieclicker/)
14:21:49	3417/3417	---M--	200	added ('OK')	audio/mpeg	etag:%22d59-5cabd6274ba40%22	https://orteil.dashnet.org/cookieclicker/snd/tickOff.mp3	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/snd/tickOff.mp3	(from https://orteil.dashnet.org/cookieclicker/)
14:21:49	14588/14588	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2019:29:40%20GMT	http://orteil.dashnet.org/cookieclicker/beta/	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/beta/index.html	(from https://orteil.dashnet.org/cookieclicker/)
14:21:49	8041/8041	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202019%2015:47:01%20GMT	http://orteil.dashnet.org/cookieclicker/v10466/	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/v10466/index.html	(from https://orteil.dashnet.org/cookieclicker/)
14:21:49	25608/25608	---M--	200	added ('OK')	image/png	etag:%227af5-5f660313e19c0%22	https://orteil.dashnet.org/cookieclicker/img/AQWorlds_CookieClicker_300x40.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/AQWorlds_CookieClicker_300x40.png	(from https://orteil.dashnet.org/cookieclicker/)
14:21:50	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2010%20Sep%202024%2018:21:50%20GMT	https://fonts.googleapis.com/robots.txt		(from https://orteil.dashnet.org/cookieclicker/)
14:21:50	1465/1465	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	https://orteil.dashnet.org/cookieclicker/a	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/a	(from https://connect.facebook.net/en_US/fbevents.js)
14:21:50	1465/1465	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	https://orteil.dashnet.org/cookieclicker/POST	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/POST	(from https://connect.facebook.net/en_US/fbevents.js)
14:21:50	1465/1465	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	https://orteil.dashnet.org/cookieclicker/b.resolvedLink	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
14:21:51	1465/1465	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	https://orteil.dashnet.org/signals/iwl.js	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
14:21:51	1465/1465	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	https://orteil.dashnet.org/cookieclicker/schema.org/	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:21:51	893/893	---MCZ	200	added ('OK')	text/plain	date:Tue,%2010%20Sep%202024%2018:21:52%20GMT	https://www.facebook.com/robots.txt		(from https://orteil.dashnet.org/cookieclicker/)
14:21:52	50322/50322	---M--	200	added ('OK')	image/jpeg	etag:%22d3c4-500886411e580%22	https://orteil.dashnet.org/cookieclicker/img/darkNoise.jpg	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/darkNoise.jpg	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:52	7407/7407	---M--	200	added ('OK')	image/jpeg	etag:%22214d-5008be4b3dc40%22	https://orteil.dashnet.org/cookieclicker/img/darkNoiseTopBar.jpg	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/darkNoiseTopBar.jpg	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:52	8825/8825	---M--	200	added ('OK')	image/png	etag:%222f94-5237f34128140%22	https://orteil.dashnet.org/cookieclicker/img/shadedBorders.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/shadedBorders.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:52	3723/3723	---M--	200	added ('OK')	image/png	etag:%221518-522cef2764d80%22	https://orteil.dashnet.org/cookieclicker/img/spinnyBig.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/spinnyBig.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:53	1286/1286	---M--	200	added ('OK')	image/png	etag:%22afc-522cef31e2640%22	https://orteil.dashnet.org/cookieclicker/img/spinnySmall.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/spinnySmall.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:53	11600/11600	---M--	200	added ('OK')	image/gif	etag:%222d50-5e27ce7d6f640%22	https://orteil.dashnet.org/cookieclicker/img/tinyglobe.gif	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/tinyglobe.gif	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:53	561/561	---M--	200	added ('OK')	image/png	etag:%22231-4eea01d9f4d80%22	https://orteil.dashnet.org/cookieclicker/img/blackGradient.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/blackGradient.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:53	2298/2298	---M--	200	added ('OK')	image/png	etag:%22d9b-5243d6acd55c0%22	https://orteil.dashnet.org/cookieclicker/img/shadedBordersSoft.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/shadedBordersSoft.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:54	138/138	---M--	200	added ('OK')	image/png	etag:%223ea-51e42a2a5c140%22	https://orteil.dashnet.org/cookieclicker/img/frameBorder.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/frameBorder.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:54	255/255	---M--	200	added ('OK')	image/png	etag:%22118-4eea02df43600%22	https://orteil.dashnet.org/cookieclicker/img/money.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/money.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:54	239/239	---M--	200	added ('OK')	image/png	etag:%2245d-51605823963c0%22	https://orteil.dashnet.org/cookieclicker/img/heavenlyMoney.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/heavenlyMoney.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:54	224/224	---M--	200	added ('OK')	image/png	etag:%2244a-5512e14270400%22	https://orteil.dashnet.org/cookieclicker/img/sugarLump.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/sugarLump.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:55	71/71	---M--	200	added ('OK')	image/png	etag:%225f-4eea026531600%22	https://orteil.dashnet.org/cookieclicker/img/empty.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/empty.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:55	92679/92679	---M--	200	added ('OK')	image/png	etag:%22176d4-4eea02b17ca00%22	https://orteil.dashnet.org/cookieclicker/img/imperfectCookie.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/imperfectCookie.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:55	745/745	---M--	200	added ('OK')	image/png	etag:%228c8-522682a77f100%22	https://orteil.dashnet.org/cookieclicker/img/cursor.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/cursor.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:55	14676/14676	---M--	200	added ('OK')	image/png	etag:%2239a0-4eea03539c880%22	https://orteil.dashnet.org/cookieclicker/img/smallCookies.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/smallCookies.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:55	6280/6280	---M--	200	added ('OK')	image/png	etag:%221c26-51e57528529c0%22	https://orteil.dashnet.org/cookieclicker/img/panelVertical.png?v=2	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/panelVertical5e1f.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:56	161/161	---M--	200	added ('OK')	image/png	etag:%223f4-521922d452000%22	https://orteil.dashnet.org/cookieclicker/img/panelGradientTop.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/panelGradientTop.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
14:21:56	153/153	---M--	200	added ('OK')	image/png	etag:%223ec-521922e94d180%22	https://orteil.dashnet.org/cookieclicker/img/panelGradientBottom.png	C:/My%20Web%20Sites/Cookie%20Clicker/orteil.dashnet.org/cookieclicker/img/panelGradientBottom.png	(from https://orteil.dashnet.org/cookieclicker/style.css?v=9)
